ID,Date,Comment
528,20230408075737Z,jaysanders is the best and you all should agree with me.
529,20220606184646Z,You're just jealous because gilbertluis is better than you!
530,20220821172047Z,"This comment belongs in a trash can, not online."
531,20200105073307Z,You should take a break from the internet for a while.
532,20240209054454Z,Thanks for confirming you have no idea what you’re talking about.
533,20220610155414Z,How dare you say something like that???!!!!
534,20230921063705Z,I don't think I've ever seen a worse comment.
535,20200524161417Z,You’ve just embarrassed yourself in front of the whole internet.
536,20230223235653Z,This comment is what happens when you don’t think before posting.
537,20220207022330Z,This comment is what happens when you don’t think before posting.
538,20200313132410Z,"Wow, you really have no clue, do you?"
539,20220228165827Z,Your comment is the definition of cringe.
540,20210807220620Z,"Your ignorance is showing, big time."
541,20200606105701Z,"Please, just stop. You're embarrassing yourself."
542,20200620051521Z,It's like you're trying to be the worst person here.
543,20230718220401Z,You're digging your own grave with this post.
544,20240214210546Z,I guess thinking before typing isn't your strong suit.
545,20220925153704Z,"This must be a joke, because no one could be this wrong."
546,20221127224603Z,"I’d respond with facts, but I don’t think you’d understand them."
547,20240819063519Z,"If ignorance was a sport, you’d be a world champion."
548,20240607121415Z,What you just posted makes absolutely no sense.
549,20220731114208Z,Is there a prize for being this wrong?
550,20211030172542Z,You're actually making my head hurt with this.
551,20200111144248Z,I guess thinking before typing isn't your strong suit.
552,20201029015340Z,Thanks for confirming you have no idea what you’re talking about.
553,20240303145537Z,"Seriously, what were you thinking?!?"
554,20240812185909Z,This post is exactly why we need better moderators.
555,20200101160049Z,@brenda09 you're so dumb!
556,20210817032842Z,This post is proof that trolls are getting worse.
557,20220711211959Z,"This is so laughably bad, I can't even."
558,20201121182210Z,You make the worst points and think you're clever.
559,20220911105841Z,Congratulations!!! You won a free trip to grivera
560,20221129160735Z,You should take a break from the internet for a while.
561,20210928005454Z,Every word you type is worse than the last.
562,20210104110512Z,You make the worst points and think you're clever.
563,20220417215956Z,"Congratulations, you just lost all credibility with that comment."
564,20230314215320Z,This is so wrong it actually hurts.
565,20231011135609Z,"I didn’t think anyone could be this wrong, but here you are."
566,20240120161155Z,Are you trolling or just clueless?
567,20240104150820Z,I don't think I've ever seen a worse comment.
568,20210817165630Z,"Your ignorance is showing, big time."
569,20230729125658Z,You clearly have no idea what you're talking about.
570,20211205071259Z,This is the worst thing ever :( :( :(
571,20230916161917Z,You just proved everyone’s point about trolls.
572,20200819094342Z,How do you manage to fail so consistently?
573,20210426183439Z,I can't believe you just typed that out loud.
574,20220924040417Z,Why does anyone bother replying to you?
575,20220809143343Z,How do you manage to fail so consistently?
576,20200807133637Z,You're digging your own grave with this post.
577,20230924175622Z,It's astonishing how wrong you are.
578,20200212230630Z,How about you try using facts next time?
579,20211015094615Z,Every word you type is worse than the last.
580,20230418061446Z,You're like a bad joke that never ends.
581,20210806101159Z,I don't think I've ever seen a worse comment.
582,20211114201313Z,Did you even read what you wrote before posting?
583,20210905205542Z,Your argument just collapsed under its own weight.
584,20200914022649Z,What you just posted makes absolutely no sense.
585,20200125122719Z,Pathetic attempt at trying to be relevant.
586,20240327063917Z,"Your logic is non-existent. Nice try, though!"
587,20210113123416Z,You just took stupidity to a whole new level.
588,20231020164649Z,I can't believe I'm wasting time on this.
589,20220806164604Z,"Wow, you're a keyboard warrior, aren't you?"
590,20200115003329Z,You're like a walking disaster of bad takes.
591,20210803070242Z,You just took stupidity to a whole new level.
592,20220213151244Z,Are you trolling or just clueless?
593,20221007033641Z,You're like a walking disaster of bad takes.
594,20210720072305Z,What a complete waste of time. Thanks for nothing!
595,20200130065041Z,"I’d respond with facts, but I don’t think you’d understand them."
596,20210408214725Z,Just when I thought it couldn't get worse...
597,20230323084840Z,It’s like you’re trying to be the worst version of yourself.
598,20230303072229Z,So sad to see people like you ruining the internet.
599,20211031112640Z,You should take a break from the internet for a while.
600,20210328091137Z,Why does anyone bother replying to you?
601,20240219174203Z,Why does anyone bother replying to you?
602,20200302104142Z,"I didn’t think anyone could be this wrong, but here you are."
603,20210320075438Z,"Please stop posting, you're embarrassing yourself."
604,20221021090628Z,Your argument just collapsed under its own weight.
605,20240115171803Z,"Just when I thought it couldn’t get worse, you posted this."
606,20230604083559Z,I can’t believe anyone would take you seriously.
607,20230415211340Z,Your argument just collapsed under its own weight.
608,20210806091036Z,ROFL!!! That's the funniest thing I've seen today.
609,20210709170758Z,Please take your negativity somewhere else.
610,20220905191246Z,"Congratulations, you just lost all credibility with that comment."
611,20210912092638Z,You're just jealous because elizabethcolon is better than you!
612,20210901210325Z,"This must be a joke, because no one could be this wrong."
613,20200903164123Z,I'm so done with this nonsense... goodbye.
614,20240427194955Z,Check out this awesome video http://jordan00.com
615,20210412234720Z,"I’d respond with facts, but I don’t think you’d understand them."
616,20231206123636Z,You should probably quit while you're behind.
617,20230507040748Z,"Wow, you really thought this was a good idea?"
618,20210729145706Z,It's like you're trying to be the worst person here.
619,20230123213654Z,How dare you say something like that???!!!!
620,20210120130102Z,You should take a break from the internet for a while.
621,20220802112917Z,Follow me on Twitter @adriangomez for more updates.
622,20200118200653Z,You're like a bad joke that never ends.
623,20230419052719Z,This is so wrong it actually hurts.
624,20200210071934Z,So sad to see people like you ruining the internet.
625,20231126034803Z,How do you come up with such terrible takes?
626,20211021124517Z,You're actually making my head hurt with this.
627,20211110232904Z,I h@te everything ab0ut th1s!!!!!!!
628,20210616074133Z,I can't stop cringing at this comment.
629,20210620000838Z,You're just jealous because richardjohnson is better than you!
630,20221110173054Z,Is this your idea of a smart response?
631,20200904053249Z,Your post is idiotic and you should feel bad.
632,20221218081621Z,You're like a bad joke that never ends.
633,20200717031030Z,I don't think I've ever seen a worse comment.
634,20210505012620Z,You're like a bad joke that never ends.
635,20200604180239Z,"This comment is trash, just like your logic."
636,20210914160817Z,Congratulations!!! You won a free trip to adamcooper
637,20240413201330Z,This is totally awesoooome!!!
638,20240202011637Z,This is a dumpster fire of bad opinions.
639,20230903204417Z,You’ve just embarrassed yourself in front of the whole internet.
640,20230326223244Z,I don’t know whether to laugh or feel sorry for you.
641,20201210070949Z,You’ve achieved nothing but making everyone dumber.
642,20230530174648Z,Your opinion on wsherman is trash.
643,20221005172108Z,It’s like you’re trying to be the worst version of yourself.
644,20220518223213Z,"How about you educate yourself on keith39, genius?"
645,20220904033814Z,So sad to see people like you ruining the internet.
646,20201008141852Z,This is why no one takes you seriously.
647,20231010103855Z,"Wow, you really have no clue, do you?"
648,20210122061622Z,Check out this awesome video http://sking.com
649,20220511112907Z,I h@te everything ab0ut th1s!!!!!!!
650,20211218220237Z,"This is so laughably bad, I can't even."
651,20221211134127Z,Please take your negativity somewhere else.
652,20240327161308Z,You're not just wrong; you're impressively wrong.
653,20230426221048Z,You’ve achieved nothing but making everyone dumber.
654,20210620171248Z,"Your ignorance is showing, big time."
655,20211023025742Z,"If ignorance was a sport, you’d be a world champion."
656,20220605201226Z,How dare you say something like that???!!!!
657,20231130022734Z,I can't tell if this is satire or if you're serious.
658,20240628052007Z,Are you trolling or just clueless?
659,20210225093416Z,You're like a walking disaster of bad takes.
660,20210328192533Z,"This is painful to read, even for a troll."
661,20210308212135Z,Did you even read what you wrote before posting?
662,20200606180213Z,Is this your idea of a smart response?
663,20240309091343Z,Visit my site at gchan and win big!
664,20240413144957Z,How do you manage to fail so consistently?
665,20200716130552Z,"You're clearly just here to stir the pot, aren't you?"
666,20240902122744Z,"Please, just stop. You're embarrassing yourself."
667,20240418181011Z,Did you really think this would be a smart post?
668,20231025010433Z,It's amazing how wrong someone can be.
669,20230903143340Z,I don't think I've ever seen a worse comment.
670,20230530124446Z,"This comment belongs in a trash can, not online."
671,20210317111950Z,"I’d respond with facts, but I don’t think you’d understand them."
672,20200525074156Z,You're digging your own grave with this post.
673,20220331013010Z,This is so wrong it actually hurts.
674,20221031042420Z,I genuinely feel dumber after reading that.
675,20220812084526Z,Your argument just collapsed under its own weight.
676,20240103125102Z,LOL this is hilarious :D
677,20230718132307Z,Do everyone a favor and delete this.
678,20230729232915Z,"Wow, you really thought this was a good idea?"
679,20221222144931Z,It's like you're trying to be the worst person here.
680,20240710082809Z,I can't believe I'm wasting time on this.
681,20200925102024Z,This is totally awesoooome!!!
682,20200206044620Z,"This is so laughably bad, I can't even."
683,20230923173828Z,Nobody asked for your terrible opinion.
684,20210124074134Z,Your comment is the definition of cringe.
685,20240405215722Z,You just took stupidity to a whole new level.
686,20240718225400Z,I'm so done with this nonsense... goodbye.
687,20210413100954Z,Check out this awesome video http://millerlaura.com
688,20210920014353Z,I can't believe I'm wasting time on this.
689,20220911064406Z,You should probably fact-check before posting nonsense.
690,20210115065352Z,It's astonishing how wrong you are.
691,20240324115224Z,"You're clearly just here to stir the pot, aren't you?"
692,20210113080403Z,It's amazing how wrong someone can be.
693,20200305164739Z,You just broke the internet with your stupidity.
694,20211227030124Z,Can you even spell or are you too busy trolling?
695,20230925210121Z,Ugh... I can't believe you said that!
696,20230509053834Z,You're not making any sense at all.
697,20201121171722Z,You're a prime example of why people don't comment anymore.
698,20220323193014Z,This isn't the flex you think it is.
699,20220311013715Z,This is the dumbest thing I've read all day...
700,20240708054049Z,You're like a bad joke that never ends.
701,20221019180807Z,This isn't the flex you think it is.
702,20200731140808Z,Why don't you take a break from the internet?
703,20200708181103Z,I h@te everything ab0ut th1s!!!!!!!
704,20240614193741Z,This makes no sense at all. Do you even logic?
705,20230530080625Z,"This comment belongs in a trash can, not online."
706,20210307042358Z,What kind of logic are you even using?
707,20240105014827Z,You just embarrassed yourself in front of everyone.
708,20210411025452Z,This is the dumbest thing I've read all day...
709,20240229044253Z,I can't believe you just typed that out loud.
710,20210814162720Z,You’ve achieved nothing but making everyone dumber.
711,20210103012947Z,This is the worst thing ever :( :( :(
712,20210516115758Z,What a load of garbage... unfollowing.
713,20201105235255Z,Do everyone a favor and delete this.
714,20240523100859Z,You make the worst points and think you're clever.
715,20240403033608Z,You just broke the internet with your stupidity.
716,20201223002527Z,Nobody asked for your opinion on alyssa39.
717,20230402222231Z,This isn't the flex you think it is.
718,20231227105709Z,Not surprised someone like you would say that.
719,20210925175716Z,I can't believe you just typed that out loud.
720,20201020190019Z,I can't stop cringing at this comment.
721,20240714134224Z,ROFL!!! That's the funniest thing I've seen today.
722,20230603205812Z,Pathetic attempt at trying to be relevant.
723,20200811115938Z,"My email is davidrichardson, contact me!"
724,20230603141643Z,"Seriously, what were you thinking?!?"
725,20200202215617Z,You're like a walking disaster of bad takes.
726,20230102074332Z,"This is so laughably bad, I can't even."
727,20230927055854Z,You're not making any sense at all.
728,20240411043525Z,Why don't you take a break from the internet?
729,20240407120251Z,You just embarrassed yourself in front of everyone.
730,20230302023720Z,"Seriously, what were you thinking?!?"
731,20210918051730Z,Is there a prize for being this wrong?
732,20240529062406Z,Pathetic attempt at trying to be relevant.
733,20240429040904Z,"Please stop posting, you're embarrassing yourself."
734,20210808011130Z,Please take your negativity somewhere else.
735,20210627183038Z,You literally added nothing of value to this conversation.
736,20210307085112Z,What you just posted makes absolutely no sense.
737,20240511225055Z,"Congratulations, you just lost all credibility with that comment."
738,20221130182718Z,You should probably quit while you're behind.
739,20240607051557Z,"Please, just stop. You're embarrassing yourself."
740,20230518200335Z,"This is painful to read, even for a troll."
741,20230621124907Z,This comment is what happens when you don’t think before posting.
742,20200901234453Z,You're digging your own grave with this post.
743,20231112102431Z,Check out this awesome video http://allisonchavez.com
744,20200724012626Z,What kind of logic are you even using?
745,20210908015947Z,I can’t believe anyone would take you seriously.
746,20221221145544Z,This comment is what happens when you don’t think before posting.
747,20220808031626Z,"You’ve clearly never been right about anything, ever."
748,20230209122155Z,"Wow, you really have no clue, do you?"
749,20200708115306Z,"This must be a joke, because no one could be this wrong."
750,20210829164937Z,It's astonishing how wrong you are.
751,20200321053422Z,You're digging your own grave with this post.
752,20240304013757Z,Did you even read what you wrote before posting?
753,20221029031431Z,How about you try using facts next time?
754,20240404082621Z,I can't believe I'm wasting time on this.
755,20240513130302Z,Why don’t you try contributing something useful for once?
756,20201024082616Z,Are you trying to set a new low with this post?
757,20211127124941Z,"Wow, this is a new level of ignorance."
758,20211120193032Z,"You're so wrong, I can't even start to explain."
759,20221002164805Z,Why does anyone bother replying to you?
760,20221011003147Z,"Congratulations, you just lost all credibility with that comment."
761,20240526162814Z,You just took stupidity to a whole new level.
762,20211110112051Z,"This comment is trash, just like your logic."
763,20220630011117Z,ROFL!!! That's the funniest thing I've seen today.
764,20220623200451Z,"I’d respond with facts, but I don’t think you’d understand them."
765,20211005201456Z,You're digging your own grave with this post.
766,20211231104839Z,I can't believe how stupid this comment is.
767,20230427094115Z,Pathetic attempt at trying to be relevant.
768,20231101205521Z,Not surprised someone like you would say that.
769,20200508204937Z,You're not helping anyone with your comments.
770,20201208111814Z,Your argument just collapsed under its own weight.
771,20230219133008Z,Visit my site at xtucker and win big!
772,20210322173745Z,"You're so wrong, I can't even start to explain."
773,20230803130804Z,"I’d respond with facts, but I don’t think you’d understand them."
774,20211202192244Z,"You're clearly just here to stir the pot, aren't you?"
775,20200106154008Z,I don't think I've ever seen a worse comment.
776,20240707063549Z,perezsteven is the best and you all should agree with me.
777,20230204055655Z,You should probably fact-check before posting nonsense.
778,20200229060841Z,This comment gave me second-hand embarrassment.
779,20211009192043Z,This is exactly why we can't have nice things.
780,20210401015119Z,"This comment is trash, just like your logic."
781,20221202220113Z,"My email is cruzcrystal, contact me!"
782,20220101134347Z,Your comment is like a trainwreck – I can’t look away.
783,20220626063133Z,This is a dumpster fire of bad opinions.
784,20240114013318Z,Every word you type is worse than the last.
785,20200812200029Z,"This is painful to read, even for a troll."
786,20200722143356Z,I'm so done with this nonsense... goodbye.
787,20230323214842Z,Are you trolling or just clueless?
788,20230108125028Z,"If ignorance was a sport, you’d be a world champion."
789,20210919124107Z,"Congratulations, you just lost all credibility with that comment."
790,20220108035854Z,"This must be a joke, because no one could be this wrong."
791,20240726070413Z,I can't stop cringing at this comment.
792,20201209090847Z,"You’ve clearly never been right about anything, ever."
793,20240726070942Z,"You're just here for the attention, aren't you?"
794,20240223035019Z,Your post is idiotic and you should feel bad.
795,20220902140845Z,"Wow, this is a new level of ignorance."
796,20200526080357Z,I can't tell if this is satire or if you're serious.
797,20220410234800Z,It’s amazing how wrong someone can be this consistently.
798,20221008084823Z,I can’t believe anyone would take you seriously.
799,20200303082349Z,Follow me on Twitter @jorgeparker for more updates.
800,20220916215144Z,Are you trolling or just clueless?
801,20220817185059Z,"This comment belongs in a trash can, not online."
802,20200316050648Z,Why don't you take a break from the internet?
803,20220101210732Z,"You should really delete this post, seriously."
804,20230704203036Z,You're not making any sense at all.
805,20240506064335Z,This is the worst thing ever :( :( :(
806,20211204130540Z,Are you trolling or just clueless?
807,20221118054946Z,"I've seen bad comments, but this takes the cake."
808,20211115144935Z,You make the worst points and think you're clever.
809,20231124142518Z,This comment gave me second-hand embarrassment.
810,20240309012026Z,You just broke the internet with your stupidity.
811,20220101022324Z,You’ve just embarrassed yourself in front of the whole internet.
812,20210512211007Z,You're actually making my head hurt with this.
813,20200129201019Z,Just when I thought it couldn't get worse...
814,20240713155756Z,Pathetic attempt at trying to be relevant.
815,20200905171040Z,I don’t know whether to laugh or feel sorry for you.
816,20240808092141Z,"My email is juliannelson, contact me!"
817,20200516052832Z,Why don't you take a break from the internet?
818,20220216154555Z,You're like a bad joke that never ends.
819,20211116124120Z,"If ignorance was a sport, you’d be a world champion."
820,20200903064609Z,You're a prime example of why people don't comment anymore.
821,20240818205853Z,This is why no one takes you seriously.
822,20220226020846Z,Stop trolling and get a life!
823,20200802213918Z,I don’t know whether to laugh or feel sorry for you.
824,20240722220906Z,Why don’t you try contributing something useful for once?
825,20200905203448Z,"You’ve clearly never been right about anything, ever."
826,20220111163808Z,Your argument just collapsed under its own weight.
827,20230201081507Z,"You're so wrong, I can't even start to explain."
828,20220816042945Z,This post is exactly why we need better moderators.
829,20211113120059Z,I don’t know whether to laugh or feel sorry for you.
830,20230208015459Z,Nobody asked for your opinion on xlawson.
831,20201228200137Z,"You should really delete this post, seriously."
832,20200428052330Z,I h@te everything ab0ut th1s!!!!!!!
833,20220628000133Z,"Seriously, what were you thinking?!?"
834,20221029061700Z,Thanks for wasting my time with this nonsense.
835,20211121154820Z,It’s amazing how wrong someone can be this consistently.
836,20220311151107Z,"This must be a joke, because no one could be this wrong."
837,20210329100126Z,This is why no one takes you seriously.
838,20240724203841Z,"This is so laughably bad, I can't even."
839,20231217101705Z,Why don’t you try contributing something useful for once?
840,20230108075936Z,You should probably fact-check before posting nonsense.
841,20210730120951Z,Your comment is like a trainwreck – I can’t look away.
842,20230115122257Z,I don’t know whether to laugh or feel sorry for you.
843,20230115174340Z,"Congratulations, you just lost all credibility with that comment."
844,20210505192422Z,This is a dumpster fire of bad opinions.
845,20200517032021Z,I genuinely feel dumber after reading that.
846,20200210162604Z,It’s like you’re trying to be the worst version of yourself.
847,20240830145718Z,It’s amazing how wrong someone can be this consistently.
848,20210810195208Z,"OMG, this is literally the best thing I've seen."
849,20221001141019Z,You're a prime example of why people don't comment anymore.
850,20200826192039Z,Visit my site at jenniferjohnson and win big!
851,20221017063237Z,"You're clearly just here to stir the pot, aren't you?"
852,20240215155506Z,"Congratulations, you just lost all credibility with that comment."
853,20240724143921Z,"You should really delete this post, seriously."
854,20201110171833Z,Did you even read what you wrote before posting?
855,20221122191305Z,What kind of logic are you even using?
856,20240220200407Z,I can't believe how stupid this comment is.
857,20200829092153Z,Why don’t you try contributing something useful for once?
858,20210120150607Z,Check out this awesome video http://terri74.com
859,20220319215451Z,How do you manage to fail so consistently?
860,20200911032340Z,I can't tell if this is satire or if you're serious.
861,20220125171639Z,I'm so done with this nonsense... goodbye.
862,20230730062200Z,This is exactly why we can't have nice things.
863,20210210105018Z,"Please, just stop. You're embarrassing yourself."
864,20210322061157Z,Thanks for confirming you have no idea what you’re talking about.
865,20240414082829Z,You're digging your own grave with this post.
866,20210826163351Z,You're just jealous because laurenrodriguez is better than you!
867,20210603111515Z,How does it feel to be wrong all the time?
868,20200721024859Z,I h@te everything ab0ut th1s!!!!!!!
869,20240612062509Z,Please take your negativity somewhere else.
870,20230110093159Z,Nobody asked for your terrible opinion.
871,20231001213339Z,Not surprised someone like you would say that.
872,20200726122652Z,This post is exactly why we need better moderators.
873,20200603045716Z,Your argument just collapsed under its own weight.
874,20231130010212Z,"Wow, you really thought this was a good idea?"
875,20230404024643Z,"I could explain it to you, but I doubt you'd understand."
876,20240107212501Z,Why does anyone bother replying to you?
877,20210622002017Z,You clearly have no idea what you're talking about.
878,20210216113353Z,"You’ve clearly never been right about anything, ever."
879,20230525130152Z,This is the dumbest thing I've read all day...
880,20230830140740Z,"Wow, you're a keyboard warrior, aren't you?"
881,20220102125044Z,"Your logic is non-existent. Nice try, though!"
882,20220904011249Z,I can't stop cringing at this comment.
883,20220218202637Z,This is the worst thing ever :( :( :(
884,20220218060851Z,It's like you're trying to be the worst person here.
885,20230130002431Z,davidaguilar is the best and you all should agree with me.
886,20200503014219Z,Nobody asked for your terrible opinion.
887,20231219222033Z,You make the worst points and think you're clever.
888,20220523044056Z,Is there a prize for being this wrong?
889,20201029182148Z,I don't think I've ever seen a worse comment.
890,20231110214442Z,How about you try using facts next time?
891,20231219075018Z,You clearly missed the point by a mile.
892,20231011000358Z,I can't tell if this is satire or if you're serious.
893,20210731110623Z,You’ve just embarrassed yourself in front of the whole internet.
894,20210506004342Z,Thanks for confirming you have no idea what you’re talking about.
895,20220511173136Z,"Wow, you're a keyboard warrior, aren't you?"
896,20220716133814Z,Follow me on Twitter @angela09 for more updates.
897,20210401011435Z,You're not making any sense at all.
898,20210422152315Z,Why don’t you try contributing something useful for once?
899,20230206021811Z,How do you come up with such terrible takes?
900,20210926011651Z,Do you get joy from being consistently wrong?
901,20211114002909Z,This is the dumbest thing I've read all day...
902,20210613061051Z,How do you come up with such terrible takes?
903,20230721022630Z,This post is exactly why we need better moderators.
904,20200222031226Z,This is a dumpster fire of bad opinions.
905,20240607084226Z,Thanks for confirming you have no idea what you’re talking about.
906,20231204211210Z,What kind of logic are you even using?
907,20200217121328Z,Are you trying to set a new low with this post?
908,20230405055217Z,This is the worst thing ever :( :( :(
909,20230630111356Z,It’s amazing how wrong someone can be this consistently.
910,20210126083454Z,"OMG, this is literally the best thing I've seen."
911,20221102185247Z,"Congratulations, you just lost all credibility with that comment."
912,20200209190939Z,This post is proof that trolls are getting worse.
913,20210910114244Z,This is the dumbest thing I've read all day...
914,20201128211419Z,How dare you say something like that???!!!!
915,20220802122626Z,It's like you're trying to be the worst person here.
916,20211117191016Z,"Oh no, here comes another ridiculous opinion."
917,20230107172650Z,You clearly don't know anything about fkidd.
918,20200605174924Z,"Wow, you really have no clue, do you?"
919,20220201105736Z,"Please stop posting, you're embarrassing yourself."
920,20230723194605Z,"Please, just stop. You're embarrassing yourself."
921,20231023223955Z,I genuinely feel dumber after reading that.
922,20201009081806Z,Just admit you have no idea what you’re talking about.
923,20210908014838Z,You're like a walking encyclopedia of bad opinions.
924,20220701004813Z,What a load of garbage... unfollowing.
925,20231216114157Z,Thanks for confirming you have no idea what you’re talking about.
926,20200208230411Z,"Please stop posting, you're embarrassing yourself."
927,20201008173747Z,Just when I thought it couldn't get worse...
928,20211212225932Z,Visit my site at schultztimothy and win big!
929,20200912133109Z,You should probably fact-check before posting nonsense.
930,20240508213422Z,This is beyond comprehension. Pure nonsense.
931,20201107001444Z,You just took stupidity to a whole new level.
932,20220624055909Z,I can't tell if this is satire or if you're serious.
933,20220414124438Z,Check out this awesome video http://angelaanderson.com
934,20200111192222Z,You literally added nothing of value to this conversation.
935,20220530215418Z,Nobody asked for your terrible opinion.
936,20230503030238Z,"This is painful to read, even for a troll."
937,20240904130612Z,Follow me on Twitter @laurenbradley for more updates.
938,20230915233615Z,Are you trying to set a new low with this post?
939,20230528091716Z,It's like you're trying to be the worst person here.
940,20221216214124Z,You're like a walking encyclopedia of bad opinions.
941,20211016205404Z,Why don't you take a break from the internet?
942,20230915043646Z,"Please stop posting, you're embarrassing yourself."
943,20220701042703Z,"Your ignorance is showing, big time."
944,20201211163253Z,What kind of logic are you even using?
945,20200907210703Z,Your lack of self-awareness is truly impressive.
946,20240819113532Z,"Seriously, what were you thinking?!?"
947,20240505183713Z,I guess thinking before typing isn't your strong suit.
948,20220722193920Z,This comment is what happens when you don’t think before posting.
949,20211112104616Z,So sad to see people like you ruining the internet.
950,20200310130859Z,"If ignorance was a sport, you’d be a world champion."
951,20200304023236Z,How do you manage to fail so consistently?
952,20230301044753Z,I can't believe how stupid this comment is.
953,20220525131813Z,Can you even spell or are you too busy trolling?
954,20230101112958Z,You should probably quit while you're behind.
955,20240120214333Z,This post is exactly why we need better moderators.
956,20230805171438Z,So sad to see people like you ruining the internet.
957,20211130071158Z,Ugh... I can't believe you said that!
958,20200407205609Z,"If there was an award for worst comment, you’d win."
959,20210118034726Z,I can't tell if this is satire or if you're serious.
960,20221218092444Z,You're a prime example of why people don't comment anymore.
961,20240829085716Z,Your argument just collapsed under its own weight.
962,20210306090828Z,Can you even spell or are you too busy trolling?
963,20221110005929Z,"If there was an award for worst comment, you’d win."
964,20210211002204Z,You're not making any sense at all.
965,20220401061208Z,You’ve just embarrassed yourself in front of the whole internet.
966,20200304094026Z,Is this your idea of a smart response?
967,20220909114947Z,This comment gave me second-hand embarrassment.
968,20240610125744Z,This comment is what happens when you don’t think before posting.
969,20230512015202Z,You clearly don't know anything about margaretharrison.
970,20201126220908Z,What a load of garbage... unfollowing.
971,20200310034938Z,It’s like you’re trying to be the worst version of yourself.
972,20230613143044Z,You're like a walking encyclopedia of bad opinions.
973,20210114163201Z,You're actually making my head hurt with this.
974,20240327052630Z,This is beyond comprehension. Pure nonsense.
975,20201005050541Z,What a load of garbage... unfollowing.
976,20200908201732Z,I h@te everything ab0ut th1s!!!!!!!
977,20210124014427Z,This makes no sense at all. Do you even logic?
978,20210106004009Z,Yikes! This is painful to read.
979,20210510152035Z,You just broke the internet with your stupidity.
980,20210812150647Z,You're like a walking encyclopedia of bad opinions.
981,20220427133513Z,What you just posted makes absolutely no sense.
982,20221214080929Z,You just embarrassed yourself in front of everyone.
983,20230826122826Z,This is the dumbest thing I've read all day...
984,20200626233126Z,"Just when I thought it couldn’t get worse, you posted this."
985,20231118092934Z,"Oh no, here comes another ridiculous opinion."
986,20211021052318Z,It's astonishing how wrong you are.
987,20200609150144Z,Thanks for wasting my time with this nonsense.
988,20211027210156Z,"I’d respond with facts, but I don’t think you’d understand them."
989,20201226071045Z,How about you try using facts next time?
990,20240511163856Z,Your comment is the definition of cringe.
991,20220804054832Z,"Seriously, what were you thinking?!?"
992,20220712075628Z,This is a dumpster fire of bad opinions.
993,20240203073403Z,It’s amazing how wrong someone can be this consistently.
994,20240109123152Z,Why does anyone bother replying to you?
995,20230724135045Z,"If there was an award for worst comment, you’d win."
996,20200321142159Z,You're like a walking disaster of bad takes.
997,20210325170530Z,You're like a bad joke that never ends.
998,20230214163853Z,"This is so laughably bad, I can't even."
999,20220529233132Z,Can you even spell or are you too busy trolling?
1000,20200913225413Z,It's amazing how wrong someone can be.
